1	43	7	32	0.700	1
2	22	2	160	0.990	1
3	25	2	160	1.290	2
4	26	2	80	2.230	4
5	38	7	120	0.630	1
6	23	5	160	0.910	1
7	41	5	16	0.570	1
8	28	7	80	1.270	3
9	30	5	160	1.620	2
10	31	6	160	1.750	3
11	33	11	140	2.930	4
12	47	11	40	0.730	1
13	38	6	80	1.170	2
14	24	1	50	1.500	3
15	32	10	160	1.460	3
16	43	6	60	0.910	1
17	25	2	160	1.510	2
18	35	12	130	2.130	4
19	33	6	160	1.190	2
20	26	2	150	1.390	2
21	37	5	100	0.790	1
22	20	2	80	1.300	3
23	29	2	80	1.530	3
24	30	3	120	2.020	4
25	41	3	15	1.840	4
26	33	1	100	2.120	4
27	44	2	80	1.130	3
28	40	1	20	1.790	2
29	33	3	80	1.510	2
30	40	2	160	1.560	2
31	36	3	100	1.940	4
32	37	6	100	1.550	2
33	23	1	150	0.670	1
34	40	5	120	0.710	1
35	30	3	100	2.080	4
36	30	2	80	1.270	3
37	36	2	80	1.480	2
38	43	3	40	1.750	3
39	44	1	80	2.340	4
40	51	11	160	2.210	4
41	43	2	80	1.400	2
42	40	3	40	1.410	2
43	41	2	80	1.760	4
44	50	6	120	1.230	2
45	38	3	80	1.640	2
46	26	3	80	1.750	3
47	49	11	160	2.430	4
48	32	3	40	1.430	3
49	44	2	80	1.910	2
50	25	2	120	2.020	4
51	37	1	40	1.430	2
52	53	3	160	1.010	1
53	29	2	100	1.580	2
54	39	2	160	2.050	3
55	28	2	100	1.550	2
56	41	4	100	0.740	1
57	44	11	160	1.430	2
58	42	1	120	1.190	2
59	31	1	80	0.850	1
60	45	14	120	1.400	2
61	22	5	80	0.796	1
62	21	4	16	1.600	2
63	22	3	16	2.140	2
64	25	4	16	1.520	2
65	21	4	20	0.590	1
66	21	4	12	2.190	2
67	21	4	15	1.680	3
68	21	6	10	1.810	4
69	21	4	24	1.850	3
70	21	4	12	1.140	3
71	21	4	20	1.840	3
72	21	3	16	1.860	2
73	20	0	20	1.000	1
74	21	2	24	0.760	1
75	20	2	24	1.800	4
76	22	2	20	1.200	2
77	20	3	28	0.800	1
78	22	4	24	2.030	4
79	21	4	80	1.900	2
80	21	4	50	1.700	2
81	22	4	30	1.430	2
82	21	4	80	0.740	1
83	21	4	100	2.350	3
84	22	4	100	0.800	1
85	22	4	50	1.900	2
86	21	5	8	1.950	3
87	22	6	10	0.650	1
88	22	5	60	0.510	1
89	20	3	8	1.260	2
90	21	4	10	0.780	1
91	22	5	48	1.600	3
92	22	4	16	1.200	3
93	22	4	16	0.860	1
94	21	5	7	1.010	4
95	21	5	6	0.550	1
96	21	7	16	0.910	1
97	21	6	4	2.150	4
98	21	3	2	1.630	2
99	21	3	2	1.440	2
100	21	1	10	1.200	3
101	21	1	16	1.200	2
102	21	1	16	1.620	3
103	21	1	16	1.600	3
104	22	2	16	0.920	3
105	22	2	16	0.700	1
106	21	1	16	1.100	2
107	22	2	16	1.600	3
108	22	2	16	2.060	4
109	21	1	16	0.730	1
110	21	1	16	1.830	4
111	37	3	80	0.622	1
112	34	9	16	2.002	4
113	32	1	20	0.952	1
114	20	1	16	1.900	4
115	29	1	60	0.900	1
116	32	2	100	1.330	2
117	34	2	80	1.770	4
118	33	4	12	0.630	1
119	27	0	40	2.780	4
120	26	4	120	0.630	1
121	31	8	120	2.170	4
122	23	1	10	1.200	2
123	33	11	160	1.050	3
124	17	1	35	1.360	3
125	42	3	80	1.160	2
126	34	5	100	1.070	4
127	27	6	80	2.470	4
128	22	5	56	1.220	3
129	22	5	80	1.990	4
130	22	6	40	1.010	3
131	22	4	100	1.130	3
132	22	5	80	1.400	3
133	22	6	120	1.300	2
134	22	5	80	1.400	3
135	22	5	80	2.430	4
136	22	5	120	1.200	3
137	21	7	25	1.920	4
